file_id,ContainerIdentifier,SeriesInstanceUID,series_aws_url
GTEX-11NUK-3026,GTEX-11NUK-3025,1.3.6.1.4.1.5962.99.1.2227804832.1121128203.1720214756000.4.0,s3://idc-open-data/fec7d37b-4855-4bee-b2d1-8f3b38b0210a/*
GTEX-ZE9C-0226,GTEX-ZE9C-0225,1.3.6.1.4.1.5962.99.1.2189838375.722516937.1720176789543.4.0,s3://idc-open-data/0a2a1438-9fb0-4287-af9e-00e83230f588/*
GTEX-SUCS-0826,GTEX-SUCS-0825,1.3.6.1.4.1.5962.99.1.2452318720.663208287.1720439269888.4.0,s3://idc-open-data/a91877f1-d968-45c5-8e47-2c5f26d1890e/*
GTEX-1JMQK-2626,GTEX-1JMQK-2625,1.3.6.1.4.1.5962.99.1.2298412554.2108375095.1720285363722.4.0,s3://idc-open-data/71a9d8b3-bbe3-4e84-95a6-3a7cf61a662f/*
GTEX-12WSF-1326,GTEX-12WSF-1325,1.3.6.1.4.1.5962.99.1.2231035486.1517327831.1720217986654.4.0,s3://idc-open-data/a55dd05e-6273-46ff-8a3c-2c232d69d449/*
GTEX-XPT6-0726,GTEX-XPT6-0725,1.3.6.1.4.1.5962.99.1.2128925050.1234623992.1720115876218.4.0,s3://idc-open-data/669f46f4-6ffb-44a7-b9f7-253eac9e8180/*
GTEX-WFON-1326,GTEX-WFON-1325,1.3.6.1.4.1.5962.99.1.2115419742.2002524488.1720102370910.4.0,s3://idc-open-data/a4f703cb-95aa-41fe-897b-9353a2d8c573/*
GTEX-139TT-1926,GTEX-139TT-1925,1.3.6.1.4.1.5962.99.1.2332386209.388919860.1720319337377.4.0,s3://idc-open-data/2433b241-7a10-465a-a13f-74162a5ddcf1/*
GTEX-13SLW-1226,GTEX-13SLW-1225,1.3.6.1.4.1.5962.99.1.2344793508.1042799542.1720331744676.4.0,s3://idc-open-data/e9d25ef5-de6d-4b4b-8bf5-fc8a98e04947/*
GTEX-1P4AB-0526,GTEX-1P4AB-0525,1.3.6.1.4.1.5962.99.1.1967313530.298531675.1719954264698.4.0,s3://idc-open-data/236cab02-32e6-45ab-997c-97ad11bb9dee/*
GTEX-1192W-1426,GTEX-1192W-1425,1.3.6.1.4.1.5962.99.1.1974395253.212946052.1719961346421.4.0,s3://idc-open-data/490aa32f-29ff-4b7e-b6a7-aef0a362000c/*
GTEX-PLZ5-0226,GTEX-PLZ5-0225,1.3.6.1.4.1.5962.99.1.1989997136.733740021.1719976948304.4.0,s3://idc-open-data/fc04b123-4f96-4f11-b541-85ae55b6538c/*
GTEX-1HR9M-2226,GTEX-1HR9M-2225,1.3.6.1.4.1.5962.99.1.2478709671.1032964884.1720465660839.4.0,s3://idc-open-data/49c83607-8028-41d4-aa73-c46c261c9086/*
GTEX-1B932-1526,GTEX-1B932-1525,1.3.6.1.4.1.5962.99.1.1990658958.2017486959.1719977610126.4.0,s3://idc-open-data/bc8e4bf9-529d-43e5-98d6-bf1315b71c95/*
GTEX-1J1OQ-0626,GTEX-1J1OQ-0625,1.3.6.1.4.1.5962.99.1.1968467555.1349360011.1719955418723.4.0,s3://idc-open-data/dcb679ce-d040-4ae7-993a-e7444a9da3ba/*
GTEX-13O21-2526,GTEX-13O21-2525,1.3.6.1.4.1.5962.99.1.1966691531.1684215158.1719953642699.4.0,s3://idc-open-data/d9132f93-a117-45d5-984b-1c68c3c26044/*
GTEX-15RIF-0326,GTEX-15RIF-0325,1.3.6.1.4.1.5962.99.1.2209555888.326083489.1720196507056.4.0,s3://idc-open-data/346af9ae-791f-4131-aefe-8267fb58c40f/*
GTEX-ZV68-0826,GTEX-ZV68-0825,1.3.6.1.4.1.5962.99.1.2377265971.1064841574.1720364217139.4.0,s3://idc-open-data/c86d2cea-6f35-47a8-a957-4f778bc64057/*
GTEX-16GPK-1726,GTEX-16GPK-1725,1.3.6.1.4.1.5962.99.1.2031049709.1270908624.1720018000877.4.0,s3://idc-open-data/9716ad65-a479-4ae0-9074-8513e2ae3dac/*
GTEX-11DXY-1526,GTEX-11DXY-1525,1.3.6.1.4.1.5962.99.1.2434016026.506856038.1720420967194.4.0,s3://idc-open-data/483385de-7e2c-4bf2-a7a0-a0ef116f5790/*
GTEX-14JG1-2626,GTEX-14JG1-2625,1.3.6.1.4.1.5962.99.1.2328974724.31584907.1720315925892.4.0,s3://idc-open-data/008912f3-440b-41b1-91e7-2aa8f38e6041/*
GTEX-148VJ-2326,GTEX-148VJ-2325,1.3.6.1.4.1.5962.99.1.2284991128.398481100.1720271942296.4.0,s3://idc-open-data/e5bf9843-e20e-473c-9258-2c7cb4141e42/*
GTEX-111VG-1226,GTEX-111VG-1225,1.3.6.1.4.1.5962.99.1.2286844539.2093084536.1720273795707.4.0,s3://idc-open-data/c0e409a6-77d0-4216-94c3-d1e3ffb62f40/*
GTEX-1EMGI-1826,GTEX-1EMGI-1825,1.3.6.1.4.1.5962.99.1.2459689960.540745517.1720446641128.4.0,s3://idc-open-data/d8bb3a1d-92bd-4a45-b982-db2a5c5b4d7e/*
GTEX-13OVJ-1226,GTEX-13OVJ-1225,1.3.6.1.4.1.5962.99.1.2424656957.933995968.1720411608125.4.0,s3://idc-open-data/ef77e1ab-2e78-4596-b3d7-2b1a34b6855a/*
GTEX-15SHW-1326,GTEX-15SHW-1325,1.3.6.1.4.1.5962.99.1.2286406183.829563409.1720273357351.4.0,s3://idc-open-data/57d3e581-99ae-4bc0-a3b7-b80fb345f9d8/*
GTEX-1QEPI-1826,GTEX-1QEPI-1825,1.3.6.1.4.1.5962.99.1.2412938935.2015292564.1720399890103.4.0,s3://idc-open-data/e4d6de47-4304-4fc8-bad5-5fd9babef161/*
GTEX-1EX96-0126,GTEX-1EX96-0125,1.3.6.1.4.1.5962.99.1.2203197985.462600544.1720190149153.4.0,s3://idc-open-data/2b34305a-d09c-49a6-82ec-612133cc1282/*
GTEX-P4QR-1226,GTEX-P4QR-1225,1.3.6.1.4.1.5962.99.1.2410632081.1129784330.1720397583249.4.0,s3://idc-open-data/18e8fb6d-d597-41f2-95d4-59619e6cf0d1/*
GTEX-14AS3-2026,GTEX-14AS3-2025,1.3.6.1.4.1.5962.99.1.2151865692.1442472461.1720138816860.4.0,s3://idc-open-data/5626bbd6-8509-42c1-bc0b-de7687214ebd/*
GTEX-14DAQ-0126,GTEX-14DAQ-0125,1.3.6.1.4.1.5962.99.1.2048385085.1295113787.1720035336253.4.0,s3://idc-open-data/c349305b-0db8-4489-a789-5a38b4ddc187/*
GTEX-1S5VW-0726,GTEX-1S5VW-0725,1.3.6.1.4.1.5962.99.1.2290922525.354874597.1720277873693.4.0,s3://idc-open-data/7a900217-c482-4529-9e52-bf760747511e/*
